NUMACORDAO;ANOACORDAO;TIPOPROCESSO;ENTIDADE;ASSUNTO;SUMARIO;RELATORIO;VOTO;ACORDAO
11882;2023;TOMADA DE CONTAS ESPECIAL (TCE);Prefeitura Municipal de Catanduva - SP.;"TOMADA DE CONTAS ESPECIAL. TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio 93678/2001, firmado com o/a FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO, Siafi/Siconv 426509, função null, que teve como objeto Este convênio tem por objeto a assistência financeira direcionada à execução de ações, visando a melhoria da qualidade do ensino oferecido aos alunos da Educação de Jovens e Adultos, voltadas a: - Aquisição de livro texto para o aluno do 2° segmento (5ª a 8ª série); - Impressão de material didático para o aluno do 1° segmento (1ª a 4ª série), conforme Plano de Trabalho aprovado. (nº da TCE no sistema: 245/2022).";NA;NA;NA;"<acordao_decisao_tcu colegiado=""Primeira Câmara"" numero=""11882"" ano=""2023"" >ACÓRDÃO Nº 11882/2023 - TCU - 1ª Câmara</acordao_decisao_tcu></b></p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""/><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	VISTOS e relacionados estes autos de tomada de contas especial instaurada pelo Fundo Nacional de Desenvolvimento da Educação (FNDE), em desfavor do Sr. Félix Sahão Júnior, prefeito municipal de Catanduva/SP nas gestões 1997-2000 e 2001-2004, em razão da não comprovação da boa e regular aplicação dos recursos repassados no âmbito do Convênio 93678/2001 (Siafi 426509), tendo por objeto a assistência financeira direcionada à execução de ações visando à melhoria da qualidade do ensino oferecido aos alunos da Educação de Jovens e Adultos, voltadas à aquisição de livro texto para os alunos do 2º segmento (5ª a 8ª série) e à impressão de material didático para os alunos do 1º segmento (1ª a 4ª série), tendo sido transferido o total de R$ 131.859,00 (peça 6) à conta da avença.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	Considerando a publicação da Resolução TCU 344/2022, que regulamenta, no âmbito do Tribunal de Contas da União, a prescrição para o exercício das pretensões punitiva e de ressarcimento;</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	Considerando a fluência de mais de cinco anos entre o termo inicial da contagem do prazo prescricional em <b>2/10/2002</b>, por ocasião da entrega da prestação de contas (peça 8), nos termos previstos no art. 4º, inciso II, da referida Resolução, e a realização da análise financeira preliminar da prestação de contas em <b>16/11/2018</b> (peça 13, p. 1-5 - Informação 7836/2018);</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	Considerando, afinal, a instrução técnica (peças 32-34), chancelada pelo MP/TCU (peça 35),</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	ACORDAM os Ministros do Tribunal de Contas da União, reunidos em Sessão de 1ª Câmara, por unanimidade, em: </p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">a) reconhecer a ocorrência da prescrição das pretensões punitiva e ressarcitória e, em razão disso, arquivar o presente processo, nos termos dos arts. 1º e 11 da Resolução TCU 344, de 11/10/2022, do art. 1º da Lei 9.873/99 e do art. 169, III, do RI/TCU; </p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">b) informar ao FNDE sobre a necessidade de providenciar a baixa da responsabilidade pelo débito apurado nos autos, nos termos do art. 16 da Instrução Normativa TCU 71/2012; e </p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">c) informar ao responsável e ao FNDE desta deliberação.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""/><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""/><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""><b>1. Processo TC-<processo_tcu numero=""1958820224"" >019.588/2022-4</processo_tcu> (TOMADA DE CONTAS ESPECIAL) </b></p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.1. Responsável: Felix Sahão Júnior (XXX.831.388-XX).</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.2. Órgão/Entidade: Prefeitura Municipal de Catanduva - SP.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.3. Relator: Ministro-Substituto Augusto Sherman Cavalcanti.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.4. Representante do Ministério Público: Procurador Rodrigo Medeiros de Lima.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.5. Unidade Técnica: Unidade de Auditoria Especializada em Tomada de Contas Especial (AudTCE).</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.6. Representação legal: não há.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.7. Determinações/Recomendações/Orientações: não há.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""/><p class=""footer""/>"
9885;2023;REPRESENTAÇÃO (REPR);Prefeitura Municipal de Olho D'água das Cunhãs - MA.;REPRESENTAÇÃO. Representação a respeito de utilização de recursos do Fundeb pelo Município de Olho D`água das Cunhãs/MA;NA;NA;NA;"<acordao_decisao_tcu colegiado=""Segunda Câmara"" numero=""9885"" ano=""2023"" >ACÓRDÃO Nº 9885/2023 - TCU - 2ª Câmara</acordao_decisao_tcu></b></p><p class=""body_Text"">	VISTOS e relacionados estes autos de representação formulada por Marcos Antônio de Oliveira Araújo (Vereador do Município de Olho D'água das Cunhãs - MA), em face de possível malversação de verbas oriundas do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb), relacionadas a processo de aquisição de livros didáticos, envolvendo a liquidação das despesas, pagamento, transporte, recebimento e distribuição do material, pela prefeitura do referido município, no ano de 2021, durante a pandemia da Covid-19; </p><p class=""body_Text"">	Considerando que a aferição da legalidade das despesas realizadas com valores das contas dos Fundeb estadual e municipais, independentemente de aporte federal a título de complementação, deve ser prioritariamente exercida pelas instâncias de controle locais, no caso, o Tribunal de Contas do Estado do Maranhão;</p><p class=""body_Text"">	Considerando, ademais, que a Instrução Normativa - TCU 60/2009, que dispõe sobre os procedimentos de fiscalização deste Tribunal em recursos do Fundeb, não elege ""representações"" e ""denúncias"" como instrumentos a serem utilizados para a fiscalização da aplicação daqueles recursos onde houver complementação da União; e</p><p class=""body_Text"">	Considerando os pareceres uniformes exarados pela Unidade de Auditoria Especializada em Educação, Cultura, Esporte e Direitos Humanos às peças 10-11;</p><p class=""body_Text"">	ACORDAM os Ministros do Tribunal de Contas da União, reunidos em sessão da 2ª Câmara, com fundamento no art. 143, III, do Regimento Interno/TCU, em:</p><p><b>	</b>a) conhecer da representação, satisfeitos os requisitos de admissibilidade previstos nos arts. 235 e 237, inciso III, do Regimento Interno deste Tribunal, c/c o art. 103, § 1º, da Resolução TCU 259/2014, para, no mérito, considerá-la prejudicada;</p><p><b>	</b>b) remeter cópia destes autos ao Tribunal de Contas do Estado do Maranhão para adoção das medidas de sua alçada; </p><p>	c) comunicar a prolação deste Acórdão ao representante; e</p><p>	d) arquivar o processo, com fulcro no art. 169, inciso III, do Regimento Interno/TCU.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""/><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""><b>1. Processo TC-<processo_tcu numero=""2058420237"" >020.584/2023-7</processo_tcu> (REPRESENTAÇÃO) </b></p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.1. Órgão/Entidade: Prefeitura Municipal de Olho D'água das Cunhãs - MA.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.2. Relator: Ministro-Substituto Marcos Bemquerer Costa, em substituição ao Ministro Antonio Anastasia (Portaria-TCU 67-SEAE, de 6 de outubro de 2023).</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.3. Representante do Ministério Público: não atuou.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.4. Unidade Técnica: Unidade de Auditoria Especializada em Educação, Cultura, Esporte e Direitos Humanos (AudEducação).</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.5. Representação legal: não há.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha"">	1.6. Determinações/Recomendações/Orientações: não há.</p><p class=""tCU_-__Ac_-_item_9_-_1ª_Linha""/><p class=""footer""/>"
